Ranking,Title,Rating,ReviewCount,Price,offer,sponsored,DeliveryDays,Sales
34,"Wireless Keyboard and Mouse, WisFox USB Computer Keyboard with Silent Keys, Long Battery Life, 2.4GHz Full-Size Lag-Free Cordless Combo for PC Laptops Windows Mac Chrome OS (Black)",4.3,2924,19.99,,False,5,500
35,"Amazon Basics 2.4GHz Wireless Computer Keyboard and Mouse Combo, Quiet and Compact US Layout (QWERTY), Black",4.1,4952,22.99,,False,5,500
36,"Logitech Pebble 2 Combo, Wireless Keyboard and Mouse, Quiet and Portable, Customizable, Logi Bolt, Bluetooth, Easy-Switch for Windows, macOS, iPadOS, Chrome - Tonal White",4.6,485,59.99,,False,5,500
37,"Logitech K270 Wireless Keyboard and M185 Wireless Mouse Combo — Keyboard and Mouse Included, Long Battery Life (Black with Mouse)",4.3,353,35.99,,False,4,200
38,Dell Pro KM5221W Keyboard & Mouse,4.3,1524,33.48,,False,4,1000
39,"Logitech MK550 Wireless Wave K350 Keyboard and Mouse Combo — Includes Keyboard and Mouse, Long Battery Life, Ergonomic Wave Design with Wireless Mouse (with Mouse)",4.6,864,85.79,,False,7,3000
40,"Logitech K400 Plus Wireless Touch With Easy Media Control and Built-in Touchpad, HTPC Keyboard for PC-connected TV, Windows, Android, Chrome OS, Laptop, Tablet - Black",4.5,36141,22.99,,False,5,8000
41,"Logitech Signature MK650 Combo for Business, Wireless Mouse and Keyboard, Logi Bolt, Bluetooth, SmartWheel, Globally Certified, Windows/Mac/Chrome/Linux - Graphite",4.4,895,69.99,,False,5,1000
42,"mafiti RK101 Computer Keyboard Mouse Combo Wired, RGB Backlit USB Keyboard for PC Mac Laptop Desktop, Gaming Office",4.4,2867,19.99,5,False,5,200
43,"Dell KM636-BK-US Wireless Keyboard & Mouse Combo (580-ADTY), Black",4.3,1186,58.4,,False,,100
44,Dell Premier Multi-Device Wireless Bluetooth Keyboard and Mouse - KM7321W,4.5,1103,69.89,,False,6,2000
45,"HAOCOO Keyboard Wrist Rest and Mouse Pad Wrist Support, Gel Wrist Rest for Computer Keyboard and Mouse Pad Set, Non-Slip Base, Ergonomic Gaming Mousepad with Coaster for School Home(Purple)",4.5,254,15.99,,True,5,
46,"DeLUX Wireless Ergonomic Keyboard Mouse Combo, Split Ergo Keyboard GM901D-Black and Large Vertical Mouse M618XSD-Black",4.5,5,109.99,,True,,
47,"Amazon Basics USB Wired Computer Keyboard (QWERTY) and Mouse Bundle Pack, black",4.5,10784,20.99,,False,5,1000
48,"Logitech M705 Marathon Wireless Mouse, 2.4 GHz USB Unifying Receiver, 1000 DPI, 5-Programmable Buttons, 3-Year Battery, Compatible with PC, Mac, Laptop, Chromebook - Black",4.5,21247,29.99,,False,5,9000
49,"Apple Magic Keyboard with Numeric Keypad: Wireless, Bluetooth, Rechargeable. Works with Mac, iPad, or iPhone; US English - White",4.8,16283,107.84,,False,5,6000
50,Logitech Media Combo MK200 Full-Size Keyboard and High-Definition Optical Mouse,4.6,2321,18.1,,False,6,1000
51,"iClever GK08 Wireless Keyboard and Mouse - Rechargeable, Ergonomic, Quiet, Full Size Design with Number Pad, 2.4G Stable Connection Slim Mac Keyboard and Mouse for Windows Mac OS Computer",4.4,8865,35.99,,False,5,2000
52,"Wireless Keyboard and Mouse,J JOYACCESS 2.4G Ergonomic and Slim Wireless Computer Keyboard Mouse Designed for Windows, PC, Laptop,Tablet - Black Grey",4.2,23587,34.99,,False,5,500
53,"Lenovo 510 Wireless Keyboard & Mouse Combo, 2.4 GHz Nano USB Receiver, Full Size, Island Key Design, Left or Right Hand, 1200 DPI Optical Mouse, GX30N81775, Black",4.4,2007,30.98,,False,6,1000
54,"Logitech MX Master 3S - Wireless Performance Mouse, Ergo, 8K DPI, Track on Glass, Quiet Clicks, USB-C, Bluetooth, Windows, Linux, Chrome - Graphite - With Free Adobe Creative Cloud Subscription",4.6,7886,99.99,5,False,5,8000
55,"Gorilla Grip Silky Gel Memory Foam Wrist Rest for Computer Keyboard, Mouse, Ergonomic Design for Typing Pain Relief, Desk Pads Support Hand and Arm, Mousepad Rests, Stain Resistant, 2 Piece Pad, Black",4.5,4052,11.99,,False,5,5000
56,"AUSDOM Wireless Keyboard and Mouse Combo: 2.4Ghz Cordless Silent Keyboard Mouse Set, Rechargeable Slim Quiet Full Size Keyboard with 3 DPI Adjustable Mouse, Thin Sleek Design for Windows",4.2,184,19.99,,False,5,100
57,"Amazon Basics Full-Sized Wireless Keyboard & Mouse Combo, 2.4 GHz USB Receiver, QWERTY Layout, Black",3.9,638,24.69,,False,5,500
58,"RedThunder K20 Wireless Keyboard and Mouse Combo, Full Size Anti-Ghosting Keyboard with Multimedia Keys + 7D 4800DPI Optical Mice, Rechargeable RGB Gaming/Office Set for PC Laptop Mac Xbox (White)",3.9,547,49.99,,False,5,
