name,price,premium,ratingAvg,user_handle,category,firstPublish,datePublished,modified,likesCount,downloadCount
Sand Dune Wall Decor - Simple house interior decoration,,False,4.75,SASSyDesign,Household,2024-04-07T12:05:33.071617+00:00,2024-04-07T12:10:38.146113+00:00,2024-04-07T12:10:38.189497+00:00,871,813
Articulated crystal dragon v2 (fixed),,False,5,Molodos,Art & Design,2024-04-12T00:27:10.470194+00:00,2024-04-12T00:27:10.473786+00:00,2024-04-12T00:27:10.496916+00:00,395,1281
"""We Thought It Would Be Easy"" Sign",,False,5,rpkempland_458338,Household,2024-04-07T00:45:01.662050+00:00,2024-04-07T00:45:01.666288+00:00,2024-04-07T00:45:01.691450+00:00,377,456
Wicked Skull Dice Tower.,,False,5,PeterFarell,Toys & Games,2024-04-19T14:07:35.470587+00:00,2024-04-28T17:57:54.581929+00:00,2024-04-28T17:57:54.603043+00:00,406,785
Klebebandspender,,False,5,AL_95051,Hobby & Makers,2024-04-12T08:56:44+00:00,2024-04-12T09:00:42+00:00,2024-04-17T09:26:46.073114+00:00,406,291
"Car Seat Headrest Hook/Hanger, Barbed Edition",,False,5,fuzzysoul_1845923,Tabletop Miniatures,2024-04-11T00:09:29.839509+00:00,2024-04-18T19:59:54.202703+00:00,2024-04-18T19:59:54.234470+00:00,202,275
4pcs Decorative Frames Elk Deer Wolf Bear Hexagonal,,False,5,JuraSvebis_1183904,Art & Design,2024-04-07T09:19:26.369614+00:00,2024-04-07T09:19:26.373384+00:00,2024-04-07T09:19:26.384402+00:00,388,1112
DIY RC Excavator,,False,5,ProfJohnny_823077,Hobby & Makers,2024-04-06T13:27:08.897282+00:00,2024-04-22T14:15:42.835665+00:00,2024-04-22T14:15:42.852116+00:00,1131,2202
Ghost Bride Skull Planter Vase,,False,0,FreedomMaker_1139968,Art & Design,2024-04-17T04:33:12.427646+00:00,2024-04-17T04:33:12.431983+00:00,2024-04-17T04:33:12.460402+00:00,300,676
Modified spool for Solder Scroll,,False,4.7857142857,Jindrich_95221,Hobby & Makers,2024-04-17T09:56:53.096338+00:00,2024-04-17T17:31:29.345847+00:00,2024-04-17T17:31:29.387238+00:00,299,676
Wall Art 911 GT3 rs,,False,5,Gabouque223_1432014,Hobby & Makers,2024-04-07T00:19:12+00:00,2024-04-15T10:58:42.036563+00:00,2024-04-15T10:58:42.054129+00:00,528,1070
"FLEXI BUTTERFLY DRAGON, ARTICULATED DRAGON",,False,4.9285714286,Kekreations_995426,Art & Design,2024-04-06T06:53:24.190898+00:00,2024-04-06T06:53:24.193951+00:00,2024-04-06T06:53:24.212438+00:00,495,1791
Stealth Heat Insert Press,,False,0,SNASA,Gadgets,2024-04-16T09:11:16.569148+00:00,2024-04-18T11:54:13.935283+00:00,2024-04-18T11:54:13.949741+00:00,259,185
Printy Panels,,False,0,3DPrinty,Household,2024-04-29T03:19:02.916111+00:00,2024-05-03T04:44:28.723596+00:00,2024-05-03T04:44:28.739022+00:00,152,303
Toggle Switch Guard Cover,,False,5,firstgizmo,Hobby & Makers,2024-04-06T09:46:16.133813+00:00,2024-04-17T04:50:52.622344+00:00,2024-04-17T04:50:52.682858+00:00,452,448
Trailer for the Jeep Kit Card,,False,5,agepbiz,Toys & Games,2024-04-14T17:15:25.270030+00:00,2024-04-14T17:15:25.273333+00:00,2024-04-14T17:15:25.294762+00:00,390,1071
Tilt-lift table with fractal vise (100% 3D printed no extra parts required.),,False,4.5,sdaendi,Hobby & Makers,2024-04-07T14:08:48.186730+00:00,2024-04-07T14:08:48.191242+00:00,2024-04-07T14:08:48.208217+00:00,605,713
Helical Tri-Gear Fidget,,False,5,EricWooShem_1839500,Toys & Games,2024-04-04T23:44:42.178311+00:00,2024-04-22T22:14:27.787624+00:00,2024-04-22T22:14:27.802308+00:00,328,720
Mini Mando Netsuke.,,False,5,PeterFarell,Art & Design,2024-04-09T14:30:10.652752+00:00,2024-04-09T14:30:10.656511+00:00,2024-04-09T14:30:10.676165+00:00,286,884
Can Holder/Handle,,False,5,PALIprints3D_1762628,Learning,2024-04-13T19:04:39.636585+00:00,2024-04-30T01:46:58.081960+00:00,2024-04-30T01:46:58.742551+00:00,256,636
Stealth PS5 Controller Stand,,False,5,Yellowtech_215681,Toys & Games,2024-04-13T23:02:23.231969+00:00,2024-04-14T14:28:47.496367+00:00,2024-04-14T14:28:47.514322+00:00,255,688
Star Wars Outdoor Data Panel Entrance (Switch Plate),,False,5,PeterFarell,Household,2024-04-16T23:27:28.302241+00:00,2024-04-17T22:04:20.111823+00:00,2024-04-17T22:04:20.140145+00:00,226,262
Slimline Sliding Micro SD Card / SD Card Holder - Multiple Sizes,,False,4.8,CADScott,Gadgets,2024-04-08T04:45:38.715753+00:00,2024-04-15T05:21:07.465986+00:00,2024-04-15T05:21:07.490414+00:00,214,659
Pot Planter,,False,5,fersanhu_133615,3D Printers,2024-04-03T13:02:06.125986+00:00,2024-04-03T13:02:06.130376+00:00,2024-04-03T13:02:06.147054+00:00,471,741
WALL-E - Alarm Clock Lamp,,False,0,Jejelinge_724355,Hobby & Makers,2024-04-15T16:21:37.973065+00:00,2024-04-15T16:26:29.646701+00:00,2024-04-15T16:26:29.664097+00:00,228,189
Reverse Blade Collapsing Katana - Rurouni Kenshin,,False,0,mailiou_189146,Toys & Games,2024-04-05T06:27:53.681694+00:00,2024-04-05T06:27:53.685184+00:00,2024-04-05T06:27:53.706891+00:00,280,1064
Falcon Glider,,False,3.5,jSamz12_656100,Toys & Games,2024-04-05T05:12:12.839000+00:00,2024-04-23T21:03:02.749810+00:00,2024-04-23T21:03:02.770226+00:00,330,1178
Brembo Caliper Business Card Holder,,False,5,LemonArts_2004048,Household,2024-04-20T09:52:17.455224+00:00,2024-04-20T09:52:17.459286+00:00,2024-04-20T09:52:17.475054+00:00,174,265
Wave Wall Art,,False,0,PhilipWallin_472942,Art & Design,2024-04-19T14:27:02.705092+00:00,2024-04-19T14:27:02.709045+00:00,2024-04-19T14:27:02.724444+00:00,199,200
Digital Caliper Holder,,False,4.5,CrooksUSA_454719,Hobby & Makers,2024-04-14T19:47:15+00:00,2024-04-23T05:21:44.325458+00:00,2024-04-23T05:21:45.015082+00:00,229,601
Geometric Line Art Space Shuttle,,False,5,PhaseworksCA,Art & Design,2024-04-06T20:04:58.577322+00:00,2024-04-06T20:06:31.651440+00:00,2024-04-06T20:06:31.665621+00:00,639,1334
Sleeping Cat,,False,5,skejtak,Toys & Games,2024-04-11T11:05:43.994957+00:00,2024-04-17T15:08:20.613508+00:00,2024-04-17T15:08:20.633146+00:00,282,819
Brick Unveiled: the true face of an iconic brick,,False,4,Iakko3DArt_1319059,Toys & Games,2024-04-12T23:19:02.333185+00:00,2024-04-12T23:19:02.337043+00:00,2024-04-12T23:19:02.354672+00:00,253,299
Extendo Grabber! 3D Printable and Customizable!,,False,0,Comrade_Zach,Hobby & Makers,2024-04-13T20:31:20.095622+00:00,2024-04-13T20:31:20.099677+00:00,2024-04-13T20:31:20.117638+00:00,244,207
Fallout Pip-boy 3000 Mark 4,,False,0,ReProps,Costumes & Accessories,2024-04-12T15:43:59.237191+00:00,2024-04-12T15:43:59.240841+00:00,2024-04-12T15:43:59.256184+00:00,248,407
Mini Filament Spool 3in1,,False,4.5,HenryLP_884071,3D Printers,2024-04-04T15:30:07.730831+00:00,2024-04-04T15:30:07.733702+00:00,2024-04-04T15:30:07.747651+00:00,242,237
Fallout: T51b Power Armor Helmet - Dice Tower,,False,4,PeterFarell,Toys & Games,2024-04-19T12:21:05.697228+00:00,2024-04-21T22:21:34.624433+00:00,2024-04-21T22:21:34.639671+00:00,299,471
Double Cap/Hat Hook,,False,0,alobal_301460,Hobby & Makers,2024-04-19T04:09:14.962334+00:00,2024-04-23T17:35:59.742132+00:00,2024-04-23T17:35:59.773749+00:00,157,208
thug life glasses,,False,5,monrojk_198902,Costumes & Accessories,2024-04-11T10:11:59.948087+00:00,2024-04-11T10:11:59.950836+00:00,2024-04-11T10:11:59.966522+00:00,150,353
MRI Brain Scan,,False,5,kiliankoe,World & Scans,2024-04-04T09:12:09.755737+00:00,2024-04-04T09:16:04.553920+00:00,2024-04-04T09:16:04.576375+00:00,352,655
Gardena Micro-Drip-System Connectors,,False,0,s7emar_1219976,Household,2024-04-13T12:41:03.242708+00:00,2024-04-13T12:43:51.870439+00:00,2024-04-13T12:43:51.887793+00:00,222,244
Garden hose coupler,,False,0,UedaIchitaka_1943924,Household,2024-04-07T09:00:17.588083+00:00,2024-04-10T11:38:22.534095+00:00,2024-04-10T11:38:22.556269+00:00,283,538
modern shelf,,False,0,ali123_1892315,Household,2024-04-12T17:53:31.598913+00:00,2024-04-12T17:53:31.602194+00:00,2024-04-12T17:53:31.612030+00:00,205,252
Articulated dragon 001 - Keychain,,False,5,Torua3D_516755,Toys & Games,2024-04-06T01:46:21.383602+00:00,2024-04-06T01:46:21.387112+00:00,2024-04-06T01:46:21.404028+00:00,292,1348
Giant Lego Crab With A Gun,,False,0,dogs_on_mars_431936,Toys & Games,2024-04-22T15:03:52.322145+00:00,2024-04-22T15:36:49.137217+00:00,2024-04-22T15:36:49.164796+00:00,131,108
8-in-1 Z-Offset First Layer Calibration,,False,0,SJB4127,3D Printers,2024-04-12T14:16:08.089622+00:00,2024-04-17T04:17:54.140465+00:00,2024-04-17T04:17:54.161988+00:00,640,828
Hummingbird - wall art,,False,5,klimoma_1671305,Art & Design,2024-04-10T21:42:43.126022+00:00,2024-04-27T08:04:57.245546+00:00,2024-04-27T08:04:57.262067+00:00,445,1346
MIN Micro Delta 3D Printer,,False,5,Rolohaun,3D Printers,2024-04-25T18:39:53.674313+00:00,2024-04-26T22:17:47.190984+00:00,2024-04-26T22:17:47.207572+00:00,156,205
Euro pallet / Europalette,,False,5,firstgizmo,Hobby & Makers,2024-04-22T03:58:46.727324+00:00,2024-05-02T16:07:01.383094+00:00,2024-05-02T16:07:01.420380+00:00,131,175
Mount Doom Dice Tower - LOTR,,False,4,Foreverer_1140609,Toys & Games,2024-04-21T13:22:04.265569+00:00,2024-04-21T16:59:24.309372+00:00,2024-04-21T16:59:24.333693+00:00,184,166
Bag Coat Hanger,,False,5,SD_3D,Hobby & Makers,2024-04-21T09:11:29.037585+00:00,2024-04-21T09:21:15.286554+00:00,2024-04-21T09:21:15.306906+00:00,122,179
Articulated crystal dragon,,False,4.8333333333,MartinSivecky_892445,Art & Design,2024-04-04T07:17:19.253523+00:00,2024-04-04T07:17:19.257137+00:00,2024-04-04T07:17:19.271381+00:00,650,2631
Haunter - Pokemon Pot Plant,,False,5,CalebTimoteo,Household,2024-04-20T07:21:16.090690+00:00,2024-04-20T07:21:16.094250+00:00,2024-04-20T07:21:16.796718+00:00,146,244
Raspberry Pi 4 case - Retro tower desktop,,False,0,Xavior93_857156,Hobby & Makers,2024-04-19T01:45:55.533586+00:00,2024-04-19T01:45:55.537459+00:00,2024-04-19T01:45:55.553138+00:00,131,90
BMW E46 M3 Kit Card,,False,0,Jerryie,Hobby & Makers,2024-04-18T13:59:14.030806+00:00,2024-04-24T13:56:15.750544+00:00,2024-04-24T13:56:16.264589+00:00,160,507
Pop-up Catapult mark 2.0,,False,5,KaiserAbides_378840,Toys & Games,2024-04-07T00:28:36.134037+00:00,2024-04-07T03:19:22.873233+00:00,2024-04-07T03:19:22.911461+00:00,217,644
Door Stop,,False,4,TJ_259730,Household,2024-04-04T21:49:18.262044+00:00,2024-04-04T21:49:18.265043+00:00,2024-04-04T21:49:18.276958+00:00,216,487
Modular box,,False,0,marko_139626,Hobby & Makers,2024-04-04T09:03:07.085510+00:00,2024-04-04T09:04:09.079253+00:00,2024-04-04T09:04:09.097281+00:00,304,461
Simon's Cat Keychain (Remix),,False,5,FC2M3D,Art & Design,2024-04-16T23:49:08.762715+00:00,2024-04-17T00:19:48.311192+00:00,2024-04-17T00:19:48.348204+00:00,181,492
Bird Wall Art,,False,5,skejtak,Art & Design,2024-04-15T15:58:39.813584+00:00,2024-04-15T15:58:39.817180+00:00,2024-04-15T15:58:39.833555+00:00,266,683
Crocodile Flexy Keychain,,False,5,ValeriaMomo,Toys & Games,2024-04-13T17:39:03.810894+00:00,2024-04-27T15:39:48.307992+00:00,2024-04-27T15:39:48.330283+00:00,206,589
OTF Fidget Knife - only 3 Parts,,False,5,uhltimate_548874,Toys & Games,2024-04-30T19:46:56.451078+00:00,2024-05-01T21:00:24.944955+00:00,2024-05-01T21:00:24.964734+00:00,101,330
F-22 Raptor 3D Wall Art,,False,0,GEARHEAD_1955260,Household,2024-04-20T02:54:21.872327+00:00,2024-04-20T02:54:21.875588+00:00,2024-04-20T02:54:21.893622+00:00,150,230
Owl Wall Art,,False,5,_1812500,Art & Design,2024-04-16T11:23:25.762388+00:00,2024-04-16T11:23:25.766176+00:00,2024-04-16T11:23:25.782430+00:00,262,304
Decorative floating candle holder,,False,4.8,Namiiria,Art & Design,2024-04-10T07:00:35.865735+00:00,2024-04-26T12:45:03.251652+00:00,2024-04-26T12:45:03.277974+00:00,609,1362
Lovecraftian,,False,5,JASAA3D,Art & Design,2024-04-10T04:19:27.818841+00:00,2024-04-10T04:19:27.826043+00:00,2024-04-10T04:19:27.845231+00:00,479,887
Sidewinder Fidget Knife,,False,4.5,Scott711_1627196,Gadgets,2024-04-14T16:28:53.679180+00:00,2024-04-14T16:28:53.682458+00:00,2024-04-14T16:28:53.704372+00:00,183,203
CapClip - Hassle-free hat carrying,,False,4.8333333333,DownloadedGoods,Fashion,2024-04-03T09:51:38.488509+00:00,2024-04-03T09:51:38.492181+00:00,2024-04-03T09:51:38.508948+00:00,230,296
"Yuari, baby magical dragon, articulated",,False,5,Bottega3D_156859,Toys & Games,2024-04-19T02:59:35.413814+00:00,2024-04-19T02:59:35.417147+00:00,2024-04-19T02:59:35.432933+00:00,176,469
Fidget Garden,,False,5,3dpmom,Toys & Games,2024-04-06T04:48:27.829532+00:00,2024-04-30T22:49:56.453853+00:00,2024-04-30T22:49:56.477999+00:00,402,395
Stackable Expandable Rotating Moveable Storage Arm,,False,0,PashionFruit_1981048,Hobby & Makers,2024-04-20T21:09:38.224284+00:00,2024-04-21T10:13:22.084694+00:00,2024-04-21T10:13:22.103484+00:00,124,118
Ergonomic Delta table,,False,0,sdaendi,Hobby & Makers,2024-04-19T20:18:56.615968+00:00,2024-04-19T20:18:56.621913+00:00,2024-04-19T20:18:56.638153+00:00,179,208
Super Star Destroyer Kit,,False,5,SabreDesign,Toys & Games,2024-04-06T21:10:54.532311+00:00,2024-04-12T07:19:57.585766+00:00,2024-04-12T07:19:57.608283+00:00,195,343
Ethernet RJ45 repair fix with NO SUPPORTS,,False,4.4,carletes359_1904714,Gadgets,2024-04-10T14:24:09.316692+00:00,2024-04-17T22:59:14.277318+00:00,2024-04-17T22:59:14.309484+00:00,182,572
FIDO (Friendly Interactive Doggish Object). Lucky 13's best friend.,,False,5,Martin_au,Toys & Games,2024-04-13T00:01:47.747434+00:00,2024-04-13T01:37:44.472138+00:00,2024-04-13T01:37:44.495002+00:00,194,266
Keyrambit Keychain by Tobkar_,,False,5,Tobkar_1947058,Gadgets,2024-04-17T17:41:19.624700+00:00,2024-04-17T17:41:19.627514+00:00,2024-04-17T17:41:19.641778+00:00,155,370
Floating rocks wall display V2,,False,3,Namiiria,Art & Design,2024-04-17T03:51:20.731917+00:00,2024-04-17T23:45:42.480046+00:00,2024-04-17T23:45:42.503656+00:00,226,332
NASA Worm Logo Keychain,,False,5,Aztairya,Gadgets,2024-04-08T13:37:38.241578+00:00,2024-04-08T13:48:33.021640+00:00,2024-04-08T13:48:33.059049+00:00,244,586
