name,price,premium,ratingAvg,user_handle,category,firstPublish,datePublished,modified,likesCount,downloadCount
"Funnels (Extra Small, Small, Medium, Large)",,False,0,HitMxrker85_2003457,Hobby & Makers,2024-04-23T20:12:07.688946+00:00,2024-04-23T20:12:07.695309+00:00,2024-04-23T20:12:07.712001+00:00,86,187
Self Draining Bar Soap Holder,,False,0,HitMxrker85_2003457,Hobby & Makers,2024-04-20T03:19:46+00:00,2024-04-24T02:29:00.124266+00:00,2024-04-24T02:29:00.145582+00:00,94,202
Toyota Supra Kit Card,,False,0,Jerryie,Toys & Games,2024-04-23T18:17:37.393538+00:00,2024-04-30T09:24:28.177433+00:00,2024-04-30T09:24:28.631517+00:00,84,260
AWP Counter Strike Sniper,,False,5,Wizzy23_1742778,Costumes & Accessories,2024-04-21T14:14:06.615278+00:00,2024-04-21T14:14:06.619415+00:00,2024-04-21T14:14:06.636894+00:00,83,163
Fallout Nuka Cola Bottle Cap,,False,5,PeterFarell,Art & Design,2024-04-19T02:06:59.964124+00:00,2024-04-19T02:07:46.055923+00:00,2024-04-19T02:07:46.073135+00:00,119,272
mountain range,,False,5,Thelineguy_1854137,Art & Design,2024-04-14T13:14:49.239270+00:00,2024-04-15T05:57:28.930355+00:00,2024-04-15T05:57:28.953945+00:00,217,348
Tupperware lid holder,,False,0,Spatule36_1887804,Household,2024-04-05T23:07:53.266458+00:00,2024-04-05T23:19:31.075554+00:00,2024-04-05T23:19:31.092796+00:00,107,96
Spiro Remix,,False,4,MarkIgnatiev_1625039,Toys & Games,2024-04-19T02:23:52.409955+00:00,2024-04-26T03:06:01.067598+00:00,2024-04-26T03:06:01.091515+00:00,107,363
Modular Led Channels for Hexagon Panels + Geometry Wall Art Sleeves,,False,0,Zdef_213312,Art & Design,2024-04-14T23:26:37.871524+00:00,2024-04-15T10:04:31.918493+00:00,2024-04-15T10:04:31.943487+00:00,180,139
opening and closing pokeball,,False,0,superdogo3000,Toys & Games,2024-04-12T12:40:12.272753+00:00,2024-05-01T07:48:58.426935+00:00,2024-05-01T07:48:58.440965+00:00,102,203
Helldiver Miniature,,False,5,GalacticArmory,Tabletop Miniatures,2024-04-10T16:19:24.810818+00:00,2024-04-10T16:19:24.814305+00:00,2024-04-10T16:19:24.831149+00:00,231,983
Portal Turret Articulated Egg,,False,5,checkerddd,Toys & Games,2024-04-04T19:27:11.128545+00:00,2024-04-04T19:42:26.565224+00:00,2024-04-04T19:42:26.585041+00:00,369,258
T60 Fallout Kit Card,,False,5,Dylan_2003686,Tabletop Miniatures,2024-04-20T06:05:38.521248+00:00,2024-04-20T08:02:11.476639+00:00,2024-04-20T08:02:11.497587+00:00,102,304
Compact Bit Driver (pocket size screwdriver),,False,5,GlennovitS3D,Hobby & Makers,2024-04-06T23:01:12.062841+00:00,2024-04-16T08:12:03.320798+00:00,2024-04-16T08:12:03.349572+00:00,142,300
Glow in the dark mushroom diorama,,False,0,danshti_1002881,Art & Design,2024-04-04T10:15:45+00:00,2024-04-04T10:22:43+00:00,2024-04-19T10:49:33.385531+00:00,218,173
Dice tower with self loading mechanism,,False,0,Kehet,Toys & Games,2024-04-29T07:39:52.347715+00:00,2024-05-02T14:11:05.427233+00:00,2024-05-02T14:11:05.444852+00:00,68,36
One-piece Paper Airplane Launcher,,False,4,PALIprints3D_1762628,Toys & Games,2024-04-26T21:45:12.774781+00:00,2024-04-29T22:03:37.430005+00:00,2024-04-29T22:03:38.247398+00:00,68,103
Shaun the Sheep Toilet Paper Roll Countertop Holder,,False,0,patrykza_591446,Household,2024-04-23T08:13:59.759493+00:00,2024-04-23T08:14:10.681620+00:00,2024-04-23T08:14:11.164586+00:00,76,97
Nike air jordan keychain,,False,5,kyrkar_653704,Fashion,2024-04-19T08:26:44.162929+00:00,2024-04-19T08:28:20.830198+00:00,2024-04-19T08:28:20.845092+00:00,86,294
Gang of Worms - Flexi Worm,,False,5,ValeriaMomo,Toys & Games,2024-04-14T16:04:00.449076+00:00,2024-04-27T15:39:44.041077+00:00,2024-04-27T15:39:44.057024+00:00,146,251
Bulbasaur - Pokemon Pot Plant,,False,0,CalebTimoteo,Household,2024-04-04T06:45:22.625690+00:00,2024-04-04T07:20:13.873586+00:00,2024-04-04T07:20:14.338019+00:00,155,315
keychain ADHD inspired ACDC keyring easy to print two colors,,False,0,pantevi__526232,Fashion,2024-04-19T08:48:19.976067+00:00,2024-04-19T09:00:01.084757+00:00,2024-04-19T09:00:01.116219+00:00,94,105
remote holder with inserts,,False,0,h3li0,Household,2024-04-17T15:58:19.539803+00:00,2024-04-17T15:58:19.543625+00:00,2024-04-17T15:58:19.561555+00:00,93,239
Hole Cutter (works with Dremel) 19 sizes (metric + imperial),,False,5,TucksProjects_617389,Hobby & Makers,2024-04-13T03:19:21.870551+00:00,2024-04-18T22:16:38.507093+00:00,2024-04-18T22:16:38.531827+00:00,895,1858
Ultimate DnD Tracker + Dice Tower,,False,0,bcegatien_1512852,Toys & Games,2024-04-19T20:11:11.278072+00:00,2024-05-03T03:05:59.959010+00:00,2024-05-03T03:05:59.981166+00:00,122,88
