PageLink,ThumbnailLink,ArtistName,ArtistForwardName,ArtistLink,Role,Title,Created,Medium,Credit,CreditLink,Accession,OnView,FullResImage
https://www.nga.gov/content/ngaweb/collection/art-object-page.1129.html,"https://media.nga.gov/iiif/11b8ec3a-24cb-40f3-8602-4e46743001d5/full/!384,384/0/default.jpg",Thomas Sully,Thomas Sully,https://www.nga.gov/content/ngaweb/collection/artist-info.1914.html,,Abraham Kintzing,1815,oil on canvas,Andrew W. Mellon Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Andrew%20W.%20Mellon%20Collection,1942.8.35,Not on View,
https://www.nga.gov/content/ngaweb/collection/art-object-page.1111.html,"https://media.nga.gov/iiif/c5e7655f-5714-4f90-8d93-cdc7c5776f2d/full/!384,384/0/default.jpg",Gilbert Stuart,Gilbert Stuart,https://www.nga.gov/content/ngaweb/collection/artist-info.1911.html,(painter),Commodore Thomas Macdonough,c. 1815/1818,oil on wood,Andrew W. Mellon Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Andrew%20W.%20Mellon%20Collection,1942.8.17,"On View : West Building, Ground Floor — Gallery G42-B",https://media.nga.gov/iiif/c5e7655f-5714-4f90-8d93-cdc7c5776f2d/full/full/0/default.jpg?attachment_filename=commodore_thomas_macdonough_1942.8.17.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.34120.html,"https://media.nga.gov/iiif/2dbb7b7e-ece8-4858-ac3e-7caca77609db/full/!384,384/0/default.jpg",American 19th Century,American 19th Century,https://www.nga.gov/content/ngaweb/collection/artist-info.1942.html,(painter),Eliab Metcalf (?),c. 1815,oil on canvas,Andrew W. Mellon Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Andrew%20W.%20Mellon%20Collection,1947.17.72,Not on View,https://media.nga.gov/iiif/2dbb7b7e-ece8-4858-ac3e-7caca77609db/full/full/0/default.jpg?attachment_filename=eliab_metcalf_%28_%29_1947.17.72.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.3158.html,"https://media.nga.gov/iiif/4b3603f3-e765-4a26-93bc-4af1c26cf103/full/!384,384/0/default.jpg",Thomas Sully,Thomas Sully,https://www.nga.gov/content/ngaweb/collection/artist-info.1914.html,,Henry Pratt,1815,oil on canvas,Gift of Clarence Van Dyke Tiers,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Gift%20of%20Clarence%20Van%20Dyke%20Tiers,1942.13.1,Not on View,
https://www.nga.gov/content/ngaweb/collection/art-object-page.46092.html,"https://media.nga.gov/iiif/3ee71759-f61f-4835-b43d-5a69ac2b0f6d/full/!384,384/0/default.jpg",Sir William Beechey,Sir William Beechey,https://www.nga.gov/content/ngaweb/collection/artist-info.900.html,,Lieutenant-General Sir Thomas Picton,1815/1817,oil on canvas,Gift of the Coe Foundation,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Gift%20of%20the%20Coe%20Foundation,1961.5.1,Not on View,https://media.nga.gov/iiif/3ee71759-f61f-4835-b43d-5a69ac2b0f6d/full/full/0/default.jpg?attachment_filename=lieutenant-general_sir_thomas_picton_1961.5.1.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.34068.html,"https://media.nga.gov/iiif/51bee694-2cc7-4e55-95fa-5a5b972d5359/full/!384,384/0/default.jpg",Ezra Ames,Ezra Ames,https://www.nga.gov/content/ngaweb/collection/artist-info.80.html,,Maria Gansevoort Melvill (Mrs. Allan Melvill),c. 1815,oil on wood,Andrew W. Mellon Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Andrew%20W.%20Mellon%20Collection,1947.17.20,Not on View,https://media.nga.gov/iiif/51bee694-2cc7-4e55-95fa-5a5b972d5359/full/full/0/default.jpg?attachment_filename=maria_gansevoort_melvill_%28mrs._allan_melvill%29_1947.17.20.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.42451.html,"https://media.nga.gov/iiif/f818c915-76e8-4c16-9437-2ccbf1fbdc80/full/!384,384/0/default.jpg",American 19th Century,American 19th Century,https://www.nga.gov/content/ngaweb/collection/artist-info.1942.html,,Possibly Harlan Page,1815,oil on wood,Gift of Edgar William and Bernice Chrysler Garbisch,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Gift%20of%20Edgar%20William%20and%20Bernice%20Chrysler%20Garbisch,1953.5.48,Not on View,
https://www.nga.gov/content/ngaweb/collection/art-object-page.34133.html,"https://media.nga.gov/iiif/b507e4a2-8c24-4c0e-ae3a-8d3b19738ad0/full/!384,384/0/default.jpg",Rembrandt Peale,Rembrandt Peale,https://www.nga.gov/content/ngaweb/collection/artist-info.1775.html,,Richardson Stuart,c. 1815,oil on canvas,Andrew W. Mellon Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Andrew%20W.%20Mellon%20Collection,1947.17.85,Not on View,
https://www.nga.gov/content/ngaweb/collection/art-object-page.1130.html,"https://media.nga.gov/iiif/c8629b33-8fe2-4bcf-8018-9755b236bdad/full/!384,384/0/default.jpg",John Vanderlyn,John Vanderlyn,https://www.nga.gov/content/ngaweb/collection/artist-info.1948.html,,Zachariah Schoonmaker,1815/1818,oil on canvas,Andrew W. Mellon Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Andrew%20W.%20Mellon%20Collection,1942.8.36,Not on View,
https://www.nga.gov/content/ngaweb/collection/art-object-page.42456.html,"https://media.nga.gov/iiif/9532824b-2c14-44bc-889c-138047573604/full/!384,384/0/default.jpg",Ammi Phillips,Ammi Phillips,https://www.nga.gov/content/ngaweb/collection/artist-info.1781.html,,Alsa Slade,1816,oil on canvas,Gift of Edgar William and Bernice Chrysler Garbisch,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Gift%20of%20Edgar%20William%20and%20Bernice%20Chrysler%20Garbisch,1953.5.53,Not on View,https://media.nga.gov/iiif/9532824b-2c14-44bc-889c-138047573604/full/full/0/default.jpg?attachment_filename=alsa_slade_1953.5.53.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.42455.html,"https://media.nga.gov/iiif/e378c067-99ad-477f-bee1-e3db3eeda62a/full/!384,384/0/default.jpg",Ammi Phillips,Ammi Phillips,https://www.nga.gov/content/ngaweb/collection/artist-info.1781.html,,Joseph Slade,1816,oil on canvas,Gift of Edgar William and Bernice Chrysler Garbisch,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Gift%20of%20Edgar%20William%20and%20Bernice%20Chrysler%20Garbisch,1953.5.52,Not on View,https://media.nga.gov/iiif/e378c067-99ad-477f-bee1-e3db3eeda62a/full/full/0/default.jpg?attachment_filename=joseph_slade_1953.5.52.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.129865.html,"https://media.nga.gov/iiif/3dc78f93-b6c9-4dfd-a665-b7b1759e5f4c/full/!384,384/0/default.jpg",John Martin,John Martin,https://www.nga.gov/content/ngaweb/collection/artist-info.4829.html,(painter),Joshua Commanding the Sun to Stand Still upon Gibeon,1816,oil on canvas,Paul Mellon Fund,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Paul%20Mellon%20Fund,2004.64.1,"On View : West Building, Main Floor — Gallery 58",https://media.nga.gov/iiif/3dc78f93-b6c9-4dfd-a665-b7b1759e5f4c/full/full/0/default.jpg?attachment_filename=joshua_commanding_the_sun_to_stand_still_upon_gibeon_2004.64.1.jpg
