projectName,plotBearing,street,locality,lat,lon,CertificateNo,project_Village,project_Taluka,project_District,project_Division,project_State,pincode,
GREEN CITY 3,33/1/33/2/1,Not Available,Not Available,21.017065,79.058966,P50500000005,Gawasi Manapur,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
UNNATHI WOODS PHASE VII A,246 247/1 247/2,Ghodbunder Road,Anand Nagar,19.268511,72.97367,P51700000002,Thane (M Corp.),Thane,Thane,Konkan,MAHARASHTRA,400615,
FORTUNE DP NANO,668/1,Not Available,Not Available,20.396363,72.878712,P49500000001,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
MAYFAIR VISHWARAJA,S No 204/1A 226/1/2 226/2A,Ganesh Mandir Road,Near Ganesh Mandir,19.3009417389246,73.2185819703309,P51700000001,Titwala,Kalyan,Thane,Konkan,MAHARASHTRA,421605,
MERIDIAN MYSTIC,78/78A,Plot No 78/78A,Nerul Navi Mumbai,19.0189340394745,73.0242332588955,P51700002065,Navi Mumbai (M Corp.),Thane,Thane,Konkan,MAHARASHTRA,400706,
FORTUNE PARADISE,460,Not Available,Not Available,20.423412,72.846426,P49500000002,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
MIDTOWN,"59/3-1,59/1,61/4",Not Available,Not Available,20.413868,72.878467,P49500000003,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
SAINATHVILLA Phase II,46,Not Available,Not Available,19.858827,75.442968,P51500011537,Sundarwadi,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Pramukh Sneh Phase 2,71/1/1/3,Krishna Co.Road,Near Empress Mall,20.2553175914107,73.0111288016052,P49600000001,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SIGNATURE HEIGHTS,PLOT NO 88 AND 89,KILVANI NAKA,SILVASSA,20.27876,73.008038,P49600000048,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
FORTUNE-9,"34-1,34-2,34-4,34-4-A",TIN BATTI,NEAR TIN BATTI CIRCLE,18.4883779,74.1021282,P49500000005,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
NANDHA RESIDENCY,"GAT NO 393 , KOREGAON MUL ,URLIKANCHAN ",PUNE-SOLAPUR ROAD,URLIKANCHAN,18.4883779,74.1021282,P52100012200,Koregaon Mul,Haveli,Pune,Pune,MAHARASHTRA,412202,
SHIVAM PARK,7/74,Not Available,Not Available,21.056573,79.071419,P50500002280,Shankarpur,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
Param Residency,357/2,Vapi kachigam Road,Kachigam,19.0778737,72.9055627,P49500000004,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396215,
VIKI HEIGHTS,5867,Not Available,Not Available,19.078961,72.906927,P51800002451,Kurla,Kurla,Mumbai Suburban,Konkan,MAHARASHTRA,400077,
ROYAL RESIDENCY,"32, 33",Not Available,Not Available,21.101756,79.073969,P50500000348,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440015,
DEEP LAXMI DEVELOPERS,892/1,Not Available,Not Available,21.1117002,79.0729793,P49600000002,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SHIVNERI APPARTMENT,48,Not Available,Not Available,18.991096,75.730914,P52300000176,Ashti,Ashti,beed,Aurangabad,MAHARASHTRA,414203,
PRAMUKH GARDENS PHASE 2,882/1/1,KILVANI ROAD,OPP. YOGI HOSPITAL,20.2800172493618,73.0104592903518,P49600000004,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Diamond One ,Plot Number 19/1 City Survey Number 389 Mouza Dhantoli,Not Available,Not Available,21.130339,79.079207,P50500001314,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
AANAND SHILP APARTMENT,PLOT NO 06 CTS NO 17825,Not Available,Not Available,19.879709,75.325572,P51500001870,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
VRUNDAVAN,"233/3,233/4,233/5,234 AND 237",Not Available,Not Available,20.282335,73.01107,P49600000010,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Immense Heights,7678,Mumbai Pune Old Highway,Talegaon Dabhade Pune,18.71558,73.669579,P52100006356,Talegaon Dabhade (R),Mawal,Pune,Pune,MAHARASHTRA,410506,
SAHJANAND PARK,SURVEY NO 38/2P 38/3P 38/4P 38/5 39P,Silvassa Khanvel Road,Khanvel,20.281795,73.009575,P49600000051,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SAMRIDDHI,"184/1,2 185/12",indralok,indralok,19.1353171946507,72.9671033718751,P51700001636,Mira-Bhayandar (M Corp.),Thane,Thane,Konkan,MAHARASHTRA,401105,
THE ADDRESS-PHASE-1,"342/1-A,311,354/1","VILLAGE KATHIRIA,DUNETHA",NEAR COAST GUARD,19.2855196,72.8692967,P49500000006,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
Sharvari Serenity,"Plot no. 2 , 3 ,  10 , 11 / Survey no. 156 A",Not Available,Not Available,19.688898,73.56128,P51600000394,Igatpuri (M Cl),Igatpuri,Nashik,Nashik,MAHARASHTRA,422403,
Pramukh Sangam Phase 2,"30/2/3/1,30/2/3/2/1,30/2/3/2,30/2/3/3",Krishna Co.Road,NEAR BYOUR LADY OF HELP ENGLISH SCOOL,20.2568018,73.0110181,P49600000008,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Dwarka Nagari,Gat No. 48,15.00 M Wide Road,Beside Old MIDC,18.426998,76.555207,P52400000234,Baswantpur,Latur,Latur,Aurangabad,MAHARASHTRA,413512,
THE COSMOPOLIS,"138/9,138/11",Not Available,Not Available,18.520144,73.932921,P52100001149,Hadapsar,Haveli,Pune,Pune,MAHARASHTRA,411028,
Shri Krishna Kunj CHS Ltd,CTS NO 202 202/1 To 33,R R Thakur Marg,Maharaj Bhavan,19.138023,72.856293,P51800001311,Andheri,Andheri,Mumbai Suburban,Konkan,MAHARASHTRA,400060,
OMs Premraj Enclave,165/5/B,Not Available,Not Available,20.025984,73.811911,P51600010735,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
Sunrise Residency,"Survey No. 1087/1 , 1088",Not Available,Not Available,20.262869,72.941242,P49600000020,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
PLATINUM GREEN,"PLOT NO. R3, CTS 638",Not Available,Not Available,21.106608,79.016668,P50500006086,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440036,
ANURON SEVEN,SR.NO. 26/3 PLOT NO.1 HISSA NO. 3,Not Available,Not Available,19.097531,74.745709,P52200000566,Ahmadnagar (M Corp.),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414003,
SHASHIKALP CLASSIC,SURVEY NO. 71/1/1/2,SAMARVARNI,SILVASSA,20.255681,73.009667,P49600000031,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
saiprakash appartment,65/2/2,Not Available,Not Available,20.527374,76.209616,P50000001993,Sundar khed (CT),Buldana,Buldana,Amravati,MAHARASHTRA,443001,
THE ADDRESS-PHASE 2,"S N 311, 342/1-A, 354/1",COST GOURD ROAD,KATHIRIA AND DUNETHA,20.5284028,76.21025,P49500000008,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
ROYAL BLISS,533/3, MAIN ROAD,VILLAGE DUNETHA,19.0964492,74.7395591,P49500000007,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
RONAK RESIDENCY,SR.NO. 388-1 PLOT NO. 16-17-18,Not Available,Not Available,19.0964492,74.7395591,P52200002076,Ahmadnagar (M Corp.),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414001,
Yogi Milan Phase 2,261/1,SUB JAIL ROAD,NR. BALAJI TEMPLE,20.2799930317985,72.9920424669342,P49600000006,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Rambaug,5626A 1 1,Not Available,Not Available,17.9824172,74.511286,P52700000048,Phaltan (M Cl),Phaltan,Satara,Pune,MAHARASHTRA,415523,
NAVALAKHA RITZ,S NO 42 AND S NO 43,Not Available,Not Available,18.559884,73.941599,P52100002664,KHARADI,Haveli,Pune,Pune,MAHARASHTRA,411014,
PRABHAT APPARTMENT,SURVEY NO 326/2/2/1/1/1,Not Available,Not Available,20.280572,73.006395,P49600000005,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Shiv Elite Phase I,Kh No 66-1 and 66-2,Not Available,Not Available,21.055139,79.066096,P50500009639,Shankarpur,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
Four Seasons Private Residences Phase - 1,1H/136,Dr E Moses,Worli,18.99563,72.820807,P51900002789,GSouth-400018,Ward GSouth,Mumbai City,Konkan,MAHARASHTRA,400018,
RAGHUNATH NAGAR,90,Not Available,Not Available,19.197646,77.300888,P51100015354,Nanded Waghala (M Corp.),Nanded,Nanded,Aurangabad,MAHARASHTRA,431601,
GOVINDA SKY,BENODA-7,Not Available,Not Available,20.910319,77.776212,P50300000544,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
SDPL Aashray Dabha,260 - 18/3,Dabha,Dabha,21.1704241394964,78.9980001905915,P50500014329,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440023,
The Crown Greens,Plot 7 International Biotech Park Rajiv Gandhi IT-BT Park MIDC Phase 2 Hinjawadi Pune 411057,MIDC Phase 2,"Maan, Hinjawadi",18.5917633224859,73.7076783915405,P52100001864,Man,Mulshi,Pune,Pune,MAHARASHTRA,411057,
ARIHANT A & B WING,"105/1/1, 105/5/1",Not Available,Not Available,18.5973002,73.6925236,P49600000042,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
RIDDHI SIDDHI,SURVEY NO 59/1,Not Available,Not Available,20.109709,77.11569,P50200002611,Washim (M Cl),Washim,Washim,Amravati,MAHARASHTRA,444505,
ANANDVANN,"607/2, 629",MUMBAI AGRA MAHAMARG,IGATPURI,19.8260159989312,73.6741761536591,P51600000085,Gondedumala,Igatpuri,Nashik,Nashik,MAHARASHTRA,422403,
Laxmi Chayya,54 - 55 - 56 / 206/A/3/2,Not Available,Not Available,20.109037,73.8301437,P51600008182,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422004,
KOHINOOR PRESTIGE,SURVEY NO 344 HISSA 12A1/2,Not Available,Not Available,16.9904,73.317469,P52800004038,Nachane (CT),Ratnagiri,Ratnagiri,Konkan,MAHARASHTRA,415612,
FLORENZA VILLAS,GUT NO 42 GOLWADI WALUJ LINK ROAD,New Paithan Waluj Link Road,Golwadi Village,19.848946,75.276947,P51500002341,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
Gokul,Survey No 38,Vrindavan Marg,Vrindavan,21.011052930933,79.0128810862061,P50500000854,Wagdara (536084),Hingna,Nagpur,Nagpur,MAHARASHTRA,441122,
Vasukamal Samruddhi,"311/1A, Plot no.1,2,3,4",N,Jalgaon,21.023487,75.564887,P49900000069,Jalgaon (M Corp.),Jalgaon,Jalgaon,Nashik,MAHARASHTRA,425001,
nakshatra,108,Not Available,Not Available,19.1101334,73.297175,P51700005959,Kudsavare,Ambarnath,Thane,Konkan,MAHARASHTRA,421503,
OM APARTMENT,PLOT NO 1 AND 2 SURVEY NO 135,Not Available,Not Available,19.1101334,73.297175,P51600001180,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422002,
DGS HEIGHTS,"206, 206/1 TO 15",AAREY ROAD,GOREGAON EAST,19.1648109,72.8532715,P51800000052,Borivali,Borivali,Mumbai Suburban,Konkan,MAHARASHTRA,400063,
"JAS LUXURIA , J-1",293,Not Available,Not Available,20.273106,72.994921,P49600000029,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
NISARG GARDEN,SURVEY NO 30/2 / LAYOUT PLOT NO 1 TO 31,Not Available,Not Available,20.699751,77.012291,P50100000101,Chandur,Akola,Akola,Amravati,MAHARASHTRA,444001,
Dwarika Nagari,S.No. 50/3B/2 to 21,Tilekar Nagar,Tilekar Nagar,18.446558,73.880548,P52100002029,kondhwa BK,Haveli,Pune,Pune,MAHARASHTRA,411048,
SRI MADHAV RESIDENCY,"396/1,396/6,398,399/1",Not Available,Not Available,18.4507298,73.8914013,P49600000041,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396193,
Yogi Milan Phase 3,261/1,SUB JAIL ROAD,NR. BALAJI TEMPLE,20.2794287068375,72.9923176872413,P49600000022,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Patel Complex,106/1,Bhamti,Moti Daman,20.4080193,72.8343123,P49500000014,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
Construction of 14 Rowhouses at Waddhamna Nagpur,116/1 to 5,Not Available,Not Available,21.1474483,78.9684057,P50500012638,Waddhamna,Hingna,Nagpur,Nagpur,MAHARASHTRA,441110,
Riverside County,"Survey No 34/0,36/1,36/2A,2B,36/3,36/4,39/1,131/0",Not Available,Not Available,18.7712536,73.1792125,P52000000650,Washiwali,Pen,Raigarh,Konkan,MAHARASHTRA,402107,
SPRING CITY,185/1 186/1/1 186/3 187/1 187/2 188 189,SILVASSA,SILVASSA,20.241791,73.008471,P49600000033,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
RADHA RAMAN APARTMENT,PLOT NO 17/18 S.NO 352/1/2/3,Not Available,Not Available,21.024766,75.55743,P49900000128,Jalgaon (M Corp.),Jalgaon,Jalgaon,Nashik,MAHARASHTRA,425001,
BELLA VITA,"GAT NO 1338/1, 1339",Not Available,Not Available,18.573108,73.964451,P52100000783,WAGHOLI,Haveli,Pune,Pune,MAHARASHTRA,412207,
K T PREMIA,"136/5,136/6,136/7,136/12,165/4","ANJURPHATA ROAD, NEAR TORRENT POWER OFFICE, OPP SHANKAR DYEING",KAMATGHAR BHIWANDI,19.2781148326622,73.0477115220208,P51700002939,Bhiwandi (M Corp.),Bhiwandi,Thane,Konkan,MAHARASHTRA,421302,
SPRING DIVISHA,"S.NO 17/3-A PLOT NO 2 PART,3,4,8,9,10",Not Available,Not Available,19.2812547,73.0482912,P50100000435,Akoli Bk.,Akola,Akola,Amravati,MAHARASHTRA,444001,
Sumangal Vihar,Plot No.1 ,Not Available,Not Available,21.096665,79.004335,P50500007042,Isasani (CT),Hingna,Nagpur,Nagpur,MAHARASHTRA,440016,
THANEKAR PARKLAND,58/2,Not Available,Not Available,19.169827,73.221583,P51700000644,Badlapur (M Cl),Ambarnath,Thane,Konkan,MAHARASHTRA,421503,
"Site No.124, Datala, New Chandrapur",124,datala,datala,19.96913889,79.25662778,P50900000159,Datala,Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442401,
Abhishek Luxuria,477,Khariwad,Dunetha,20.4267761,72.8470073,P49500000016,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
RAAJ SWAPNAPURTI,"GUT NO.94, TISGAON, CIDCO WALUJ MAHANGAR, AURANGABAD",Not Available,Not Available,19.859908,75.268353,P51500000594,Tisgaon,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
SRI KONARK PLAZA,"77/2/1, 77/5",Not Available,Not Available,19.8640215,75.263948,P49600000025,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Royal Empire,"Plot no 14,13 Survey no 363/2",Not Available,Not Available,20.039643,73.850776,P51600005059,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
SAI AURA,"237/1/1/1,237/1/2,236/1/1",SUB JAIL ROAD,ULTAN FALIYA,20.28,72.98,P49600000003,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
"Construction of 29 HIG Bunglow at Waddhamna,Nagpur",Survey no 142 154 155,Not Available,Not Available,21.0735488,78.9613486,P50500000774,Hingna,Hingna,Nagpur,Nagpur,MAHARASHTRA,441110,
The HUB,97 P,Not Available,Not Available,21.0735488,78.9613486,P51500005443,Shendra Kamangar,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431154,
ROONGTA CHITRAKOOT APARTMENT," S NO 97 11 13 15, PLOT NO 1",PETHE NAGAR ROAD,INDIRA NAGAR,19.9545725388623,73.7799229,P51600001657,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422009,
AKSHAR GREENS,"161/1/1/1 , 161/1/1/2 , 161/1/31/ , 163/2",Not Available,Not Available,20.263558,72.998581,P49600000009,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
LUXURIA,"Layout Plot No. 14, Nazul Plot No. 6/1,7/1,12,13,14/14, Nazul Sheet No. 68-80",Not Available,Not Available,20.70138,77.006363,P50100001467,Akola (M Corp.),Akola,Akola,Amravati,MAHARASHTRA,444001,
Pratham Yash Residency,"SURVEY NO 296 HISSA NO 6,5,3/2",Not Available,Not Available,18.608427,73.911237,P52100000071,LOHGAON,Haveli,Pune,Pune,MAHARASHTRA,411047,
Deluxe Apartments,Final Plot No. 66/5,3rd Road,Santacruz E,19.0766197343045,72.8435671574587,P51800000819,Andheri,Andheri,Mumbai Suburban,Konkan,MAHARASHTRA,400055,
Shree Gajanan Estate,Survey no 22/1 A,Not Available,Not Available,19.0803885,72.8468571,P50100000965,Kaulkhed (530030),Akola,Akola,Amravati,MAHARASHTRA,444001,
NIKETAN DREAMS BUILDING 1,SURVEY NO.418/1,VILLAGE DUNETHA,NANI DAMAN,20.426899,72.84747,P49500000018,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
JANAI - BALAJI APARTMENTS,"Plot No. E, Survey No.33-35/3, City Survey No.492/2",Wardha Road,Chhatrapati nagar,21.106452,79.072725,P50500007644,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440015,
Bliss Studio,Gut No 102 Plot No 38 to 67,Not Available,Not Available,18.919512,73.32609,P52000000003,Tadwadi,Karjat,Raigarh,Konkan,MAHARASHTRA,410201,
SKY COURT,"SUB PLOT NO.2, SURVEY NO.47/2, 47/3B, 47/3A VILLAGE SAVEDI TALUKA AND DIST AMHEDNAGAR",Not Available,Not Available,19.115352,74.734457,P52200000077,Ahmadnagar (M Corp.),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414003,
TIRUPATI RESIDENCY,"263, 262/3, 264/4",BALAJI MANDIR ROAD,BALAJI MANDIR,20.281272,72.991911,P49600000007,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
HORIZON HEIGHTS B WING,135/3 AND 135/4,AMLI,SILVASSA,20.2832883593687,73.0036851343933,P49600000021,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
TULSI RESIDENCY,67/1,"67/1,RINGANWADA MAIN ROAD",RINGANWADA,20.408027,72.870866,P49500000020,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
NANIKS ASHTAVINAYAK VRINDAVAN,3-3A,Om Nagar,Nara,21.200683,79.084103,P50500013013,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440030,
Nakshtra Residency,442,Chikhli Road,Chkhli Road,20.526216,76.179977,P50000006509,Yelgaon,Buldana,Buldana,Amravati,MAHARASHTRA,443001,
kASTURI HEIGHT ,235/153/2/02,Not Available,Not Available,21.150653,79.1294516,P50500004982,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440008,
SunShine Residency,"CTS Number 3603, S.No.599A, Plot No.75, Sahney Sujan Park, Lullanagar, Bibwewadi, Pune-411037",Not Available,Not Available,18.484141,73.88787,P52100000738,Pune (M Corp.),Pune City,Pune,Pune,MAHARASHTRA,411037,
Ramchintan Park,Gut No 13 P Plot No 42,Aurangabad,Aurangabad,19.884007,75.288688,P51500006207,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431003,
AANUSHREE RESIDENCY,"SR. NO. 10/2, WADALA SHIVAR PLOT NO. 1 TO 8",Not Available,Not Available,19.979954,73.797244,P51600000075,Indiranagar,Nashik,Nashik,Nashik,MAHARASHTRA,422006,
SHREE NARAYANA CLASSIC,PLOT NO 3 SHREE NARAYAN NAGAR MOUZA PARSODI CTS NO 221,Not Available,Not Available,20.844483,79.322919,P50500000583,Umred (M Cl),Umred,Nagpur,Nagpur,MAHARASHTRA,441203,
SAIDARSHAN RESIDENCY,346,Not Available,Not Available,18.728224,76.392175,P52300014086,Ambajogai (Rural),Ambejogai,beed,Aurangabad,MAHARASHTRA,431517,
Bliss Complex,"S No 99 Plot No 1,2",Nagar-Solarpur Road,Maliwada,19.084310434824,74.7516975673882,P52200007387,Ahmadnagar (M Corp.),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414001,
HARI LILA,262/1,Not Available,Not Available,21.0977049,79.1294516,P49600000032,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SHREE LAXMI MILESTONE,"NMC HOUSE NO 3285 CTS NO 231/2 MOUZA DIGHORI KH NO 72,73/4 NARSALA ROAD KIRTI NAGAR",NARSALA ROAD,DIGHORI,21.113889,79.138685,P50500000800,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440034,
Aathley Sankul ,"1526A,1526B,15261,15262,15263,15264,15265,15266,15267,1527,1528,,1529A,1529B,15291,15292",Not Available,Not Available,16.997253,73.293707,P52800000018,Rahataghar,Ratnagiri,Ratnagiri,Konkan,MAHARASHTRA,415612,
Manmeet Blossom,122/2/1A,Not Available,Not Available,17.629884,75.92767,P52600002721,Solapur (M Corp.),Solapur North,Solapur,Pune,MAHARASHTRA,413001,
Naman Vihar,"1-A,1-B,2-A,2-B,3-A,6-B,7-A,7-B,8-A,8-B",Not Available,Not Available,21.017581,77.821614,P50300003113,Nandgaon peth,Amravati,Amravati,Amravati,MAHARASHTRA,444901,
SILVER OAK PLAZA,5 AND 6,Not Available,Not Available,20.980703,77.755995,P50300001947,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444603,
SHIVAM HEIGHTS,"1/1/1 , 1/1/2",Not Available,Not Available,20.243175,73.012625,P49600000023,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
HIBISCUS GARDEN,34/1/C,Not Available,Not Available,21.012487,79.053322,P50500012509,Gawasi Manapur,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
Sukruti Pinnacle,Gat no. 22 part plot no. 2,Not Available,Not Available,21.018191,75.53875,P49900000226,Jalgaon (M Corp.),Jalgaon,Jalgaon,Nashik,MAHARASHTRA,425001,
SAI NAGAR PHASE 2 K WING,"198/1,200/3,200/5,204/2/1",MEGHWAD ROAD,MASAT,21.0202718,79.049145,P49600000019,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
ROSE GARDEN,RUI / KH NO 23/2 AND 23/3,Not Available,Not Available,18.5052428,73.7661129,P50500003460,Rui,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
Tirupati Imperials,"Survey No.11/1 Plot No.39,40",Not Available,Not Available,18.5052428,73.7661129,P51000001829,Digras,Digras,Yavatmal,Amravati,MAHARASHTRA,445203,
Yashwin Jeevan,"Survey number 23 3, 24 1A, 24 1B",Not Available,Not Available,18.562396,73.757154,P52100000011,Sus,Mulshi,Pune,Pune,MAHARASHTRA,411021,
MAHADEV RESIDENCY NAROLI,22/5,Naroli Road,Village Dhapsa,20.282866,72.939797,P49600000038,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396235,
NISRAG HERITAGE,MOUJE MALKAPUR / SHEET NO 69 / SURVEY NO 23/1 / NAZUL PLOT NO 4/53 4/54,Not Available,Not Available,20.6899426,77.0199806,P50100005408,Malkapur (CT),Akola,Akola,Amravati,MAHARASHTRA,444001,
Mohan Areca,SURVEY NO 4/HISSA NO 1P,NEAR MOHAN PALMS,"KATRAP, SHIRGAON",19.160777,73.227184,P51700000829,Badlapur (M Cl),Ambarnath,Thane,Konkan,MAHARASHTRA,421503,
JAS Exotica Phase II,Survey No 292-1,Not Available,Not Available,20.275268,72.993708,P49600000030,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
R M Dhariwal Greens Yavatmal Phase 1,"Plot No 1, S No 30/1, 30/2, 30/3, 30/4/2",Dhamangaon Road Bye - Pass,Yavatmal,20.409105,78.14471,P51000009219,Yavatmal (M Cl),Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445001,
Acropolis,112/2/1 and 112/2/2,AKSHARA SCHOOL ROAD,NEAR BHUMKAR CHOWK,18.606144228462,73.7452360644959,P52100000088,Wakad,Mulshi,Pune,Pune,MAHARASHTRA,411057,
OMICRON ASPIRE,GUT NO. 14/PART,Not Available,Not Available,18.6066628,73.7524673,P51500004987,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431007,
SHREE SAI APARTMENT,PLOT NO 3 CTS NO 8,MOUZA RAJAPETH,AMBIKA NAGAR,18.6066628,73.7524673,P50500014110,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,444606,
The Courtyard Phase-I Building E and C,GLR Sy No 3,Tarakpur Road,Tarakpur,19.0952075,74.7495916,P52200000247,Ahmadnagar (M Corp.),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414003,
PADMAVATI ENCLAVE PHASE 2,Srv No 2/2/1 of Village Khanvel,Not Available,Not Available,20.124054,73.069247,P49600000028,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
