projectName,plotBearing,street,locality,lat,lon,CertificateNo,project_Village,project_Taluka,project_District,project_Division,project_State,pincode,
Shri Samarth Sai Niwas,29A/1A/1/1,Not Available,Not Available,19.1018031,72.8903525,P51600009839,SANSARI,Nashik,Nashik,Nashik,MAHARASHTRA,422401,
Kalpataru Woodsville,36A/7 of Village Chandivali,Nahar's Amrit Shakti road ,Chandivali,19.1100118076002,72.8976841429917,P51800001512,Kurla,Kurla,Mumbai Suburban,Konkan,MAHARASHTRA,400072,
MATRIX COMPLEX,CTS NO 15854/B/1 AND CTS NO 15854/B/2,Amarpreet Durga Road,Kalda Corner,19.0147962,72.8454534,P51500010410,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
SAIVIJAYICON,18PART,Not Available,Not Available,19.0147962,72.8454534,P51600009951,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
Silver Spring,21-22-23-24 Kh No 672 Ph No 16,Not Available,Not Available,19.0147962,72.8454534,P50600009160,Bhandara (M Cl),Bhandara,Bhandara,Nagpur,MAHARASHTRA,441904,
Om Sat,C.S.No - 156B/10 and Plot No 163C,Dr.B.A.Road,Dadar East,19.0217772563239,72.8501982277473,P51900007293,FNorth-400014,Ward FNorth,Mumbai City,Konkan,MAHARASHTRA,400014,
ABHINAV SUPER MARKET,"CTS 1872/A-1, Property no 18-113/1 to 6",Not Available,Not Available,19.1593396,72.8426858,P51400010132,ambad,Ambad,Jalna,Aurangabad,MAHARASHTRA,431204,
Chhoriya - Regency,"Plot No. 511, G. No. 264, 301A, 301B, 301C",18.00 m  Wide  Road,Kurdu,19.1593396,72.8426858,P52600001775,Kurdu,Madha,Solapur,Pune,MAHARASHTRA,413208,
LAXMI HEIGHTS,Plot No 307,Jawhar Nagar Road no 3, Goregaon ,19.1593396,72.8426858,P51800006754,Borivali,Borivali,Mumbai Suburban,Konkan,MAHARASHTRA,400062,
RANJANA HILLS,Plot No. 2,Not Available,Not Available,19.1593396,72.8426858,P50500012794,Wagdara (536054),Hingna,Nagpur,Nagpur,MAHARASHTRA,440016,
Meher Shelter,133,Not Available,Not Available,18.7552105,73.4445392,P50500008418,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
RUTUGANDH,PLOT NO 5 FINAL PLOT NO 422,Not Available,Not Available,18.7552105,73.4445392,P51600006166,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422005,
