Release Date,Time,Actual,Previous
1993-11-01,14:30,6.7,6.76
1993-10-01,14:30,6.76,6.91
1993-09-01,14:30,6.91,7.11
1993-08-01,14:30,7.11,7.26
1993-07-01,14:30,7.26,7.42
1993-06-01,14:30,7.42,7.39
1993-05-01,14:30,7.39,7.47
1993-04-01,14:30,7.47,7.55
1993-03-01,14:30,7.55,7.89
1993-02-01,14:30,7.89,8.11
1993-01-01,14:30,8.11,8.3
1992-12-01,14:30,8.3,8.11
1992-11-01,14:30,8.11,7.81
1992-10-01,14:30,7.81,7.87
1992-09-01,14:30,7.87,8.02
1992-08-01,14:30,8.02,8.39
1992-07-01,14:30,8.39,8.58
1992-06-01,14:30,8.58,8.71
1992-05-01,14:30,8.71,8.83
1992-04-01,14:30,8.83,8.6
1992-03-01,14:30,8.6,8.4
1992-02-01,14:30,8.4,8.28
1992-01-01,14:30,8.28,8.61
1991-12-01,14:30,8.61,8.76
1991-11-01,14:30,8.76,8.92
1991-10-01,14:30,8.92,9.2
1991-09-01,14:30,9.2,9.52
1991-08-01,14:30,9.52,9.65
1991-07-01,14:30,9.65,9.48
1991-06-01,14:30,9.48,9.49
1991-05-01,14:30,9.49,9.43
1991-04-01,14:30,9.43,9.31
1991-03-01,14:30,9.31,9.56
1991-02-01,14:30,9.56,9.51
1991-01-01,14:30,9.51,9.85
1990-12-01,14:30,9.85,10.07
1990-11-01,14:30,10.07,10.03
1990-10-01,14:30,10.03,10.0
1990-09-01,14:30,10.0,9.83
1990-08-01,14:30,9.83,9.94
1990-07-01,14:30,9.94,10.21
1990-06-01,14:30,10.21,10.37
1990-05-01,14:30,10.37,10.22
1990-04-01,14:30,10.22,10.12
1990-03-01,14:30,10.12,9.99
1990-02-01,14:30,9.99,
