Project Name,Promoter Name,Last Modified Date,Certificate,Certificate Date,Do you have any Past Experience ?,Pin Code,Office Number,Website URL,Project Status,Proposed Date of Completion,Revised Proposed Date of Completion,Litigations related to the project ?,Project Type,Are there any Co-Promoters (as defined by MahaRERA Order) in the project ?,Division,District,Taluka,Village,Pin Code,Area(In sqmts),Total Building Count,Aggregate area(In sqmts) of recreational open space,Built-up-Area as per Proposed FSI (In sqmts),Built-up-Area as per Approved FSI (In sqmts),TotalFSI,Bank Name,IFSC Code,Community Buildings Available,Community Buildings Percent,Number of Slab of Super Structure,Number of Open Parking,Number of Closed Parking,Carpet Area (in Sqmts),Excavation,X number of Slabs of Super Structure,"Installation of lifts, water pumps, Fire Fighting Fittings and Equipment as per CFO NOC, Electrical fittings to Common Areas, electro, mechanical equipment, Compliance to conditions of environment /CRZ NOC, Finishing to entrance lobby/s, plinth protection, paving of areas appurtenant to Building/Wing, Compound Wall and all other requirements as may be required to Obtain Occupation /Completion Certificate",Number of Apartment,Number of Booked Apartment,NOA(0-30),NOBA(0-30),NOA(31-45),NOBA(31-45),NOA(46-60),NOBA(46-60),NOA(61-90),NOBA(61-90),NOA(91-120),NOBA(91-120),NOA(121-150),NOBA(121-150),NOA(151-200),NOBA(151-200),NOA(>200),NOBA(>200),1RK,B1RK,1BHK,B1BHK,2BHK,B2BHK,3BHK,B3BHK,4BHK,B4BHK,5BHK & MORE,B5BHK & MORE,SHOP,BSHOP,BUNGLOW,BBUNGLOW,OFFICE,BOFFICE,OTHERS,BOTHERS,FORM 4,CONVEYANCE
AL-NASHRA HEIGHTS,UNIQUE BUILDERS AND DEVELOPERS,25/10/2023,P51700005471,11/08/2017,No,421301,9821163781,,On-Going Project,31/07/2019,31/01/2021,No,Residential,Yes,Konkan,Thane,Kalyan,Kalyan,421301,2352,1,258.33,2571.31,441.33,3012.64,IDBI BANK,IDBI0000405,NO,0,16,0,0,3235.99,100,100,,62,56,0,0,27,30,15,15,13,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,60,55,YES,NO
MARUTI DARSHAN,KOMAL DREAM BUILDERS PRIVATE LIMITED,07/01/2020,P51700002727,04/08/2017,No,400602,2265653303,,On-Going Project,20/07/2019,20/07/2019,No,Others,No,Konkan,Thane,Thane,Thane (M Corp.),400602,120,1,0,266.05,0,266.05,THANE BHARAT SAHAKARI BANK LIMITED,TBSB0000005,NO,0,7,1,0,239.11,100,100,,9,8,3,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,YES,NO
HIGHLAND HAVEN BUILDING 6F MIST-B PHASE 5,SIDDHI KRISH DEVELOPERS,23/04/2024,P51700005341,11/08/2017,No,400607,2241119999,,On-Going Project,31/12/2023,30/12/2024,Yes,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400608,2122.78,1,982.98,31491.96,2863.9,34355.86,HDFC BANK,HDFC0001440,NO,0,43,131,0,20083.8,0,0,,378,0,0,0,0,110,0,259,0,6,0,1,0,2,0,0,0,0,0,0,110,0,258,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,NO,NO
BHARAT RESIDENCY ,SHIVSAI BUILDERS & DEVELOPERS,24/12/2019,P51700010262,24/08/2017,No,421301,2513248855,,On-Going Project,31/05/2018,31/05/2018,No,Others,No,Konkan,Thane,Kalyan,Chikanghar,421301,1490,1,0,2550,500,3050,ORIENTAL BANK OF COMMERCE,ORBC0100295,NO,0,7,0,3,959.96,100,30,,26,11,0,2,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
AUDUMBER,AADYASHAKTI ENTERPRISES,28/05/2022,P51700012435,01/09/2017,No,400602,2266765355,,On-Going Project,31/12/2018,31/12/2018,No,Others,Yes,Konkan,Thane,Thane,Thane (M Corp.),400601,686.1,1,0,1525.1,0,1525.1,THANE BHARAT SAHAKARI BANK,TBSB0000005,NO,0,8,0,22,1652.77,100,100,,42,41,12,13,11,11,12,12,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,41,YES,YES
SANGHVI VALLEY A1 A2,Sanghvi Premises Private Limited,01/02/2021,P51700009615,22/08/2017,Yes,400012,2224191500,,On-Going Project,31/12/2017,30/06/2018,No,Others,No,Konkan,Thane,Thane,Thane (M Corp.),400605,16776,1,3837.28,6240.23,0,6240.23,HDFC Bank Ltd,HDFC0000357,YES,100,17,24,58,5341.11,100,100,,124,108,59,59,17,17,20,30,12,15,0,3,0,0,0,0,0,0,0,0,59,59,31,31,31,18,0,0,0,0,0,0,0,0,0,0,3,0,YES,NO
Savitri View,Savitri Group,26/04/2018,P51700007284,17/08/2017,No,400706,9920038600,,On-Going Project,30/09/2019,30/09/2019,No,Residential,No,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400706,198.96,1,0,298.44,0,298.44,Syndicate Bank,SYNB0005496,NO,0,5,0,1,1190.27,100,85,,12,12,1,1,0,0,1,1,0,0,5,5,5,5,0,0,0,0,5,5,5,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NO,NO
SRUSHTI RESIDENCY D-TYPE WING-3,M/S. KULSWAMINI BUILDERS,02/02/2022,P51700006026,14/08/2017,No,421202,2512493987,,On-Going Project,31/08/2019,31/08/2019,No,Residential,Yes,Konkan,Thane,Kalyan,DOMBIVLI,421201,1027.39,1,0,1027.39,0,1027.39,AXIS BANK LTD,UTIB0001364,NO,0,8,0,1,540.32,100,75,,16,6,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
SAROJ CHANDRA RESIDENCY,ASHTAVINAYAK ENTERPRISES,05/02/2024,P51700011906,31/08/2017,No,401101,2228191837,,On-Going Project,31/12/2024,30/12/2025,No,Others,No,Konkan,Thane,Thane,BHAYANDAR,401101,1899.71,1,0,2377.8,705.17,3082.97,KOTAK MAHINDRA BANK,KKBK0001389,NO,0,7,0,35,2974.48,100,50,,70,58,3,14,28,28,27,28,0,0,0,0,0,0,0,0,0,0,0,0,55,54,1,1,0,0,0,0,0,0,14,3,0,0,0,0,0,0,NO,NO
SHREE MAHALAXMI HOMES,MAHALXMI FORTUNE,06/07/2021,P51700016810,12/06/2018,No,421501,2512692555,,New Project,30/12/2022,,Yes,Others,No,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501,11721,3,1134,2061.53,0,2061.53,RBL BANK,RATN0000103,NO,0,5,0,0,1639.72,100,100,,50,25,5,10,20,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,22,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,YES,NO
SURVEY NO 162 VILLAGE KHONI TAL KALYAN,MAHARASHTRA HOUSING AND AREA DEVELOPMENT AUTHORITY,02/02/2023,P51700016831,18/06/2018,No,400051,2266405249,,New Project,09/01/2022,,No,Residential,No,Konkan,Thane,Kalyan,Khoni,421301,171000,37,38367.46,92447.68,218533.06,310980.74,BANK OF MAHARASHTRA,MAHB0000164,NO,0,16,253,0,219376.3,29.6296296296296,29.0740740740741,,7337,0,0,7337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7337,0,NO,NO
N G VALENCIA PHASE II,RNA Builders (NG),07/06/2023,P51700016924,22/06/2018,Yes,400023,2266236300,www.rnaexperience.com,New Project,30/09/2020,,No,Residential,No,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107,3070,1,460,2525,0,2525,KOTAK MAHINDRA BANK,KKBK0000957,NO,0,14,3,15,2387.35,100,28,,50,0,0,0,0,17,0,26,0,7,0,0,0,0,0,0,0,0,0,0,17,0,26,0,7,0,0,0,0,0,0,0,0,0,0,0,50,0,NO,NO
JOE APARTMENT,SHUBHANGI DEVELOPER,01/05/2023,P51700016879,20/06/2018,No,400601,2225301936,,New Project,30/06/2022,,No,Others,Yes,Konkan,Thane,Thane,Thane (M Corp.),400601,338,2,0,830.25,176.44,1006.69,SVC COOP BANK,SVCB0000044,NO,0,7,0,2,794.07,100,100,,26,0,0,9,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,YES,NO
SAI SHATABDI RESIDENCY,PRARTHANA ENTERPRISES,19/07/2023,P51700017821,18/09/2018,Yes,421605,8898808696,,On-Going Project,30/12/2020,30/12/2020,No,Residential,Yes,Konkan,Thane,Kalyan,Manda,421605,1110,1,0,1086.9,2386.5,3473.4,BANK OF BARODA,BARB0TITWAL,NO,0,8,4,1,13084.16,10,10,,56,34,0,0,0,0,0,0,0,0,0,0,0,0,4,8,30,48,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,29,NO,NO
SHUBHAM HEIGHT,Gaurivinayak Builders and Developers Pvt Ltd,22/12/2021,P51700017315,07/08/2018,Yes,421306,2512252056,,New Project,30/12/2023,,No,Others,Yes,Konkan,Thane,Kalyan,Tisgaon,421306,2600,1,333.75,4122,0,2782.2,CENTRAL BANK OF INDIA,CBIN0283773,NO,0,6,0,0,2782.16,0,0,,84,0,0,41,0,30,0,13,0,0,0,0,0,0,0,0,0,0,4,0,40,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,NO,NO
VED RESIDENCY,OM CORPORATIN,10/03/2023,P51700016929,22/06/2018,No,421605,9987849922,,New Project,30/12/2021,,No,Residential,No,Konkan,Thane,Kalyan,Titwala,421605,1120,2,0,1687.47,325,2012.47,UCO BANK,UCBA0001642,NO,0,8,0,1,1758.49,100,100,,48,41,1,3,36,37,4,8,0,0,0,0,0,0,0,0,0,0,3,1,37,36,8,4,0,0,0,0,0,0,0,0,0,0,0,0,48,41,YES,NO
SIDDHESHWAR,SIDDHESHWAR GROUP,24/03/2023,P51700016871,20/06/2018,No,421201,9869128968,,New Project,30/12/2023,,No,Others,Yes,Konkan,Thane,Kalyan,DOMBIVLI,421201,805,1,0,557.5,250,807.5,IDBI BANK LTD,IBKL0000669,NO,0,4,0,0,813.46,100,30,,21,0,0,7,0,4,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,YES,NO
PATELS PRESTIGE,VRUDEE ASSOCIATES,27/04/2024,P51700017035,04/07/2018,No,421501,2512603761,,On-Going Project,30/12/2022,30/12/2022,No,Others,Yes,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501,1586.94,3,592.5,12553.24,1014.76,13568,STATE BANK OF INDIA,SBIN0001053,YES,0,14,0,0,12391.82,0,0,,360,229,5,8,215,343,9,9,0,0,0,0,0,0,0,0,0,0,0,0,250,126,93,89,9,9,0,0,0,0,0,0,0,0,0,0,8,5,YES,NO
SWANAND TARANG,M/S OMKAR REALTORS,18/05/2022,P51700017081,11/07/2018,No,421201,9324406898,,New Project,30/12/2021,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,3490,5,0,4182.27,0,4182.27,IDBI BANK,IBKL0000661,NO,0,5,0,0,3601.1,60,0,,123,123,59,59,64,64,0,0,0,0,0,0,0,0,0,0,0,0,8,8,115,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,YES
JAI SANTOSHI MATA HEIGHTS,RAJIV THAKUR & ASSOCIATES,07/11/2019,P51700017613,29/08/2018,No,421201,2512883695,,New Project,30/09/2018,,No,Residential,Yes,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421201,353.7,1,0,353.7,0,353.7,DOMBIVLI NAGARI SAHAKARI BANK,DNSB0000014,NO,0,2,0,1,27459,100,100,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,YES,YES
Sadguru Darshan,OM SADGURU REALTORS,02/11/2021,P51700017137,16/07/2018,No,421401,2513296655,,New Project,30/05/2025,,No,Residential,Yes,Konkan,Thane,Murbad,Murbad,421401,4340,3,551.45,4683.41,0,4683.41,AXIS BANK LIMITED,UTIB0001495,NO,0,5,88,3,3926.49,33.3333333333333,0,,117,0,0,13,0,103,0,0,0,0,0,0,0,0,0,0,0,0,2,0,91,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
ISHWAR GRACIA,SHIVANAND SHANKAR KORE,22/05/2023,P51700017159,17/07/2018,Yes,400706,2227726555,,New Project,20/04/2023,,No,Residential,No,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400706,969.89,1,145.48,1453.81,0,1453.81,INDIAN OVERSEAS BANK,IOBA0003503,NO,0,15,15,28,1342.58,100,100,,27,22,0,0,2,2,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
AMBAR KALASH,Rudra Enterprises,04/06/2021,P51700017151,17/07/2018,No,421501,2512605500,www.dalalbuildcon.in,New Project,30/09/2020,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,558,1,0,0,838.12,838.12,Rudra Enterprises,DNSB0000019,NO,0,5,7,2,700.58,0,0,,24,5,4,9,1,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,10,4,NO,NO
RAMESHWAR PARK - LILAC,RAMESHAWAR BUILDERS & DEVELOPERS,27/09/2023,P51700017242,24/07/2018,No,400612,2225836876,,New Project,30/12/2021,,No,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400612,1000,1,0,867.96,752.04,1620,The Karur Vysya Bank Ltd,KVBL0002111,NO,0,8,0,8,1463.35,100,40,,52,42,14,19,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,34,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,YES,NO
Green Avenue 1B,PARAM DEVELOPERS,01/05/2021,P51700006081,14/08/2017,Yes,421201,2512863842,,On-Going Project,31/12/2020,30/12/2021,No,Others,Yes,Konkan,Thane,Thane,Thane (M Corp.),421204,5320,1,844.58,4005,2000,6005,HDFC BANK,HDFC0000175,NO,0,24,0,6,3639.87,100,100,,95,79,7,7,57,69,15,19,0,0,0,0,0,0,0,0,0,0,0,0,69,57,19,15,0,0,0,0,0,0,0,0,0,0,0,0,95,79,YES,NO
SATIS CHS,PACIFIC IMPRESSION,13/12/2022,P51700010705,31/08/2017,Yes,421201,2512431507,,On-Going Project,31/07/2020,31/01/2021,No,Residential,Yes,Konkan,Thane,Kalyan,DOMBIVLI,421201,2299,1,0,0,2728.16,2728.16,IDBI BANK,IBKL0000669,NO,0,15,24,28,2825.77,100,75,,45,28,0,0,0,0,16,23,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,28,YES,NO
KRISHNA SARANG GALAXY,RADHE KRISHNA INFRASTRUCTURE,26/12/2019,P51700009475,22/08/2017,No,400705,2227466095,,On-Going Project,31/12/2018,31/12/2018,No,Others,No,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400703,949.14,1,0,1423.71,0,1423.71,THE MAHANAGAR CO OP BANK LTD,MCBL0960010,NO,0,14,3,0,1335.66,100,100,,40,34,14,14,20,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,34,YES,NO
SUDAMA ENCLAVE,RAI RESIDENCY Private Limited,25/03/2021,P51700011514,31/08/2017,Yes,421306,2512252560,,On-Going Project,30/06/2018,30/06/2018,No,Others,Yes,Konkan,Thane,Kalyan,Tisgaon,421306,680,1,0,1169.75,8.51,1178.26,KARNATAKA BANK,KARB0000427,NO,0,6,2,0,1283.72,100,60,,38,24,9,13,14,24,1,1,0,0,0,0,0,0,0,0,0,0,1,0,18,13,17,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,YES,NO
MUKATA LAKE CITY,KANAK REALTORS,11/03/2024,P51700008734,19/08/2017,No,400612,8850424863,,On-Going Project,30/06/2019,30/06/2019,No,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400612,4000,1,459.5,3233.5,0,3233.5,Corporation Bank,CORP0000130,NO,0,7,18,1,45816.96,100,100,,42,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,35,YES,NO
AVIGHNA KARAN WING A,AVIGHNA KARAN,29/03/2019,P51700010306,24/08/2017,No,421201,9702169959,,On-Going Project,31/12/2018,31/03/2019,No,Residential,No,Konkan,Thane,Kalyan,KATEMANEVALI,421306,1320,1,0,905.43,0,905.43,KOTAK MAHINDRA BANK,KKBK0000627,NO,0,7,0,3,897.53,100,100,,28,28,10,10,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,YES,NO
Radha Regency,V.R. Construction Co.,12/02/2020,P51700011369,31/08/2017,No,401107,9167293466,,On-Going Project,31/03/2017,31/12/2018,No,Residential,No,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107,1837.35,1,0,1867.35,0,1867.35,IDBI Bank,IBKL0000765,NO,0,6,0,10,1733.76,100,100,,44,9,0,0,8,22,1,22,0,0,0,0,0,0,0,0,0,0,0,0,22,8,22,1,0,0,0,0,0,0,0,0,0,0,0,0,44,9,YES,NO
JEEVAN ASHA HEIGHTS,NIRMITI CONSTRUCTIONS,17/12/2022,P51700003444,05/08/2017,No,401101,2228145050,,On-Going Project,31/08/2018,30/12/2021,No,Residential,No,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107,6155,2,846,8365,800,8365,CORPORATION BANK,CORP0000777,NO,0,11,10,0,2562.58,100,100,,56,44,0,0,34,42,10,14,0,0,0,0,0,0,0,0,0,0,0,0,42,34,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
AKASH GANGA,Ashish Waman Gole,29/03/2023,P51700017384,09/08/2018,Yes,421503,2512690000,,New Project,30/05/2023,,No,Residential,Yes,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,4541.17,2,0,3103.1,0,3103.1,IDBI,IBKL0000661,NO,0,8,0,2,2719.78,0,0,,79,0,0,32,0,35,0,11,0,0,0,0,0,0,0,1,0,0,0,0,54,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,YES,NO
Atrinandan Heights,HERAMB CONSTRUCTION,18/05/2022,P51700017478,13/08/2018,No,421301,9969058814,,New Project,30/12/2022,,No,Residential,Yes,Konkan,Thane,Kalyan,Kalyan,421301,821.02,1,0,733.82,1094.21,1828.03,SVC CO-OPERATIVE LTD,SVCB0000054,NO,0,7,0,6,1032,100,20,,28,24,5,6,14,17,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,23,19,YES,NO
TETRIS GREEN VALLEY,TETRIS GREEN VALLEY,13/07/2021,P51700017423,09/08/2018,No,400079,2225190184,,New Project,30/06/2021,,No,Others,Yes,Konkan,Thane,Kalyan,Titwala,421605,3465,2,438,3471.06,2241,5712.06,ICICI BANK,ICIC0006438,NO,0,7,0,1,3358.62,100,0,,82,15,2,6,12,64,1,11,0,1,0,0,0,0,0,0,0,0,0,0,64,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,NO,NO
Plot 2 Sector Sector 10 GHANSOLI,CIDCO of Maharashtra Ltd.,10/01/2022,P51700017421,09/08/2018,Yes,400021,2267918609,www.cidco.maharashtra.gov.in,On-Going Project,30/04/2021,30/04/2021,No,Others,No,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400701,25434.11,15,3973,43964,0,43964,Axis Bank Limited,UTIB0000072,NO,0,15,21,0,36981.66,100,100,,1296,0,0,1280,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,YES,NO
JANKI REGENCY,ADESHWAR DEVELOPERS,23/02/2024,P51700019075,28/12/2018,No,401101,2228145214,,New Project,30/12/2021,,No,Mixed (Plots & Buildings),Yes,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107,1077.61,2,184.25,2046.2,0,2046.2,KOTAK MAHINDRA BANK,KKBK0001389,NO,0,11,0,0,2234.91,100,100,,53,44,6,12,30,30,8,9,0,0,0,0,0,0,0,0,0,2,0,0,30,30,9,8,0,0,0,0,0,0,0,0,0,0,0,0,14,6,YES,YES
TULIP N,ROYALE URBANSPACE,28/09/2022,P51700011791,31/08/2017,No,421601,2225091011,,On-Going Project,31/12/2018,31/12/2019,No,Residential,No,Konkan,Thane,Shahapur,Borsheti Bk,421601,462.63,2,0,2106.99,0,2106.99,ORIENTAL BANK OF COMMERCE,ORBC0100023,NO,0,5,0,0,1624.32,100,50,,54,51,0,0,51,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
GAGANGIRI HILLS,M/S SIXTH SENSE DEVELOPERS,07/04/2023,P51700010356,24/08/2017,No,400706,2192282029,,On-Going Project,30/09/2017,31/12/2019,No,Residential,Yes,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400706,2200,4,0,3956.75,0,3956.75,STATE BANK OF INDIA,SBIN0011786,NO,0,6,1,1,1879.36,50,50,,44,18,0,0,11,22,7,22,0,0,0,0,0,0,0,0,0,0,0,0,22,11,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
Lifestyle City Kalyan-Amazon A,Nirmal Lifestyle (Kalyan) Private Limited,25/04/2022,P51700003542,05/08/2017,No,400080,2225937000,,On-Going Project,30/06/2017,31/12/2019,Yes,Residential,No,Konkan,Thane,Kalyan,Vadavali Kh.,421301,549.58,1,0,6805.8,3907.02,10712.82,HDFC Bank Ltd,HDFC0000652,YES,0,23,59,9,9846.07,100,1,,138,64,0,0,0,0,0,0,64,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,64,NO,NO
Lifestyle City Kalyan Riviera B,Nirmal Lifestyle (Kalyan) Private Limited,19/01/2022,P51700006746,16/08/2017,No,400080,2225937000,,On-Going Project,30/06/2018,28/08/2022,Yes,Residential,No,Konkan,Thane,Kalyan,Vadavali Kh.,421301,421.32,1,0,2996.99,4449.36,7446.35,HDFC Bank Ltd,HDFC0000652,YES,0,23,22,10,6355.84,100,0,,174,49,0,0,39,128,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,49,NO,NO
MAYFAIR MIRA PRIDE - WING A,MAYFAIR MARU DEVELOPERS,05/04/2024,P51700002231,31/07/2017,No,400058,2267232300,,On-Going Project,31/12/2018,30/12/2028,Yes,Others,No,Konkan,Thane,Thane,BHAYANDAR,401107,942,1,0,3985.43,8962.52,12947.95,KOTAK MAHINDRA BANK,KKBK0000654,NO,0,31,0,31,11297.04,100,5,,238,7,2,9,0,0,5,227,0,0,0,0,0,0,0,2,0,0,0,0,0,0,227,5,0,0,0,0,0,0,0,0,0,0,0,0,11,2,NO,NO
Paramount B,Kalpataru Homes Private Limited,30/09/2023,P51700004741,09/08/2017,No,400055,2230645000,www.kalpataru.com,On-Going Project,30/06/2024,30/06/2025,Yes,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400608,702,1,0,11454.38,350.62,11805,HDFC Bank Ltd,HDFC0000060,NO,0,35,7,354,1886583.12,100,96,,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,186,0,0,0,0,186,186,0,0,0,0,0,0,0,0,0,0,0,0,186,186,YES,NO
NEW YASHODEEP CO-OP. HSG. SOC. LTD,H K Constructions,24/02/2024,P51700009673,22/08/2017,No,401101,2211111111,,On-Going Project,01/05/2019,01/05/2019,No,Residential,No,Konkan,Thane,Thane,BHAYANDAR,401101,485,1,0,1182.31,0,1182.31,SVC CO-OP BANK LTD,SVCB0000059,NO,0,8,0,0,1310.92,100,75,,47,47,29,29,18,18,0,0,0,0,0,0,0,0,0,0,0,0,21,21,16,16,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,NO,NO
Purva,GNP DEVELOPERS,09/11/2021,P51700017496,23/08/2018,No,421503,8879684474,,New Project,31/12/2019,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,550,1,0,852.35,0,852.35,HDFC Bank,HDFC0000175,NO,0,5,0,0,639.8,100,100,,23,23,22,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,21,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,YES
MAANSAROVAR,MERIDIAN BUILDPRO PRIVATE LIMITED,15/04/2022,P51700003643,06/08/2017,No,400013,2261398811,,On-Going Project,31/12/2020,30/12/2022,No,Others,No,Konkan,Thane,Thane,Thane (M Corp.),400602,12257.66,1,1326.13,30035,39.36,30074.36,KOTAK MAHINDRA BANK,KKBK0000655,NO,0,33,13,341,0,100,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
Konark Garden Phase IV,Konark NIrman Pvt. Ltd.,29/10/2020,P51700019886,11/03/2019,No,421001,2512565200,www.konarknirman.com,On-Going Project,31/05/2020,30/11/2020,No,Others,Yes,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,3262.05,3,2640.16,15300,0,15300,IDBI BANK,IBKL0000221,YES,100,8,0,9,2878.6,100,100,,91,0,0,23,0,65,0,3,0,0,0,0,0,0,0,0,0,0,0,0,56,0,21,0,0,0,0,0,0,0,14,0,0,0,0,0,77,0,YES,NO
MARUTI PRAKRUTI DHAM,AVISHKAR DEVELOPERS,08/11/2019,P51700003338,05/08/2017,Yes,421503,8805889800,,On-Going Project,31/08/2018,31/12/2018,No,Residential,Yes,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,1835,2,501.88,1966.08,344.93,2311.01,IDBI BANK LTD,IBKL0000661,NO,0,5,0,1,1762.63,100,31,,64,19,16,59,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,16,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
SAWLARAM SRUSHTI,SHREE SAI BUILDERS AND DEVELOPERS,08/06/2019,P51700002398,31/07/2017,No,421301,2513248855,,New Project,31/12/2017,,No,Others,No,Konkan,Thane,Kalyan,Kalyan,421301,6150,6,919.4,6150,19030,25180,THE KALYAN JANATA SAHAKARI BANK LTD,KJSB0000012,YES,90,15,0,1,221198.92,100,73.3333333333333,,66,37,0,0,0,0,0,0,0,0,0,0,0,4,0,0,37,62,0,0,0,0,61,37,0,0,5,0,0,0,0,0,0,0,0,0,0,0,YES,NO
SALASAR ASHISH,SALANGPUR REALTY,19/01/2024,P51700011018,31/08/2017,No,401101,2228180022,,On-Going Project,09/02/2018,14/03/2018,No,Residential,No,Konkan,Thane,Thane,BHAYANDAR,401101,560,1,0,909.84,0,909.84,INDUSIND BANK,INDB0000600,NO,0,8,6,5,9181.07,100,100,,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,0,0,14,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,YES
