,Ranking,Link,ID,ImageLink,Sponsored,ProductName,Rating,RatingsCount,Price,DeliveryTime,NumBought
14,15.0,https://amazon.com/dp/B0947BJ67M,B0947BJ67M,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UL320_.jpg,,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",3.9,1340.0,185.49,,2000.0
15,16.0,https://amazon.com/dp/B0B2D77YB8,B0B2D77YB8,https://m.media-amazon.com/images/I/711OHeRmEaL._AC_UL320_.jpg,,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",4.1,540.0,249.98,0.0,2000.0
16,17.0,https://amazon.com/dp/B0CM5JV268,B0CM5JV268,https://m.media-amazon.com/images/I/61lsexTCOhL._AC_UL320_.jpg,,"Apple 2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Gray",4.6,230.0,1449.0,1.0,500.0
17,18.0,https://amazon.com/dp/B0CMRGBXM9,B0CMRGBXM9,https://m.media-amazon.com/images/I/71F-Wcriq4L._AC_UL320_.jpg,,"Acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-73B9",4.1,56.0,960.0,4.0,1000.0
18,19.0,https://amazon.com/dp/B0CPGKT77T,B0CPGKT77T,https://m.media-amazon.com/images/I/71pTP-ll4sL._AC_UL320_.jpg,,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",4.2,387.0,293.0,7.0,1000.0
19,20.0,https://amazon.com/dp/B0CM5BL45N,B0CM5BL45N,https://m.media-amazon.com/images/I/618d5bS2lUL._AC_UL320_.jpg,,"Apple 2023 MacBook Pro Laptop M3 Pro chip with 12‑core CPU, 18‑core GPU: 16.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Black",4.6,170.0,2334.0,1.0,300.0
20,21.0,https://amazon.com/dp/B0751N2Y78,B0751N2Y78,https://m.media-amazon.com/images/I/61U4MibK9tL._AC_UL320_.jpg,,"2017 Apple Macbook Air with 1.8GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) (QWERTY English) Silver (Renewed)",4.1,569.0,226.0,2.0,1000.0
21,22.0,https://amazon.com/dp/B0CP129FCR,B0CP129FCR,https://m.media-amazon.com/images/I/71FgRLpzwhL._AC_UL320_.jpg,,"hp Newest 15.6"" Anti-Glare HD Laptop, Intel Quad-core Processor, 16GB RAM, 128GB SSD+ 128GB JVQ USB Storage, Office 365 1-Year, Up to 11 hrs Long Battery, Win11 S, Scarlet Red",4.4,327.0,329.95,2.0,1000.0
22,23.0,https://amazon.com/dp/B0CC936WF1,B0CC936WF1,https://m.media-amazon.com/images/I/71gbrvRJI-L._AC_UL320_.jpg,,"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",4.1,60.0,509.0,2.0,500.0
23,24.0,https://amazon.com/dp/B0CFCJXF4D,B0CFCJXF4D,https://m.media-amazon.com/images/I/716RtGBuvyL._AC_UL320_.jpg,,"HP 2023 Newest Envy Laptop, 17.3"" FHD Touchscreen, 13th Gen Intel Core i7-13700H Processor, 64GB RAM, 2TB PCIe SSD, Webcam, HDMI, Backlit KB, SD Card Reader, Wi-Fi 6, Windows 11 Pro, Grey",4.3,84.0,1113.1,3.0,200.0
24,25.0,https://amazon.com/dp/B0CRD6PJDF,B0CRD6PJDF,https://m.media-amazon.com/images/I/71xZUkl5dyL._AC_UL320_.jpg,"$2,059.99","ASUS Zenbook Duo Laptop, Dual 14” OLED 3K 120Hz Touch Display, Intel Evo Certified, Intel Core Ultra 9 185H CPU, Intel Arc Graphics, 32GB RAM, 1TB SSD, Windows 11, Inkwell Gray, UX8406MA-PS99T",4.4,78.0,,,300.0
25,26.0,https://amazon.com/dp/B086MBQKH2,B086MBQKH2,https://m.media-amazon.com/images/I/61dsJm45m3L._AC_UL320_.jpg,,"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679",4.5,10116.0,204.39,1.0,1000.0
26,27.0,https://amazon.com/dp/B0CFRVSTGL,B0CFRVSTGL,https://m.media-amazon.com/images/I/71juF7A+MsL._AC_UL320_.jpg,,"HP Victus 15 Gaming Laptop, 15.6"" FHD 144Hz Display, AMD Ryzen 5 7535HS, 16GB DDR5 RAM, 1TB PCIe M.2 SSD, NVIDIA GeForce RTX 2050, HDMI, Webcam, Backlit Keyboard, Wi-Fi 6, Windows 11 Home, Silver",4.3,597.0,644.0,3.0,500.0
27,28.0,https://amazon.com/dp/B07TT9W26Z,B07TT9W26Z,https://m.media-amazon.com/images/I/61xm1J2DZzL._AC_UL320_.jpg,Sponsored,"Dell Inspiron 15 Laptop for Business and Students, 15.6 FHD Touchscreen Display, 12th Gen Intel Core i5-1235U, 32GB RAM, 2TB NVMe SSD, Webcam, SD Card Reader, Keypad, HDMI, SPS HDMI, Win 11 Pro",,,699.99,,
28,29.0,https://amazon.com/dp/B0CLY3T59M,B0CLY3T59M,https://m.media-amazon.com/images/I/71WS2+5OsUL._AC_UL320_.jpg,Sponsored,"Laptop Computer, 15.6"" Full HD 1080P Display, Intel Celeron N5095 Processors,16GB RAM, 512GB SSD,USB 3.0, Mini-HDMI, 2.4/5G WiFi",4.1,26.0,219.99,,
29,30.0,https://amazon.com/dp/B0CYC1L8TC,B0CYC1L8TC,https://m.media-amazon.com/images/I/71Aj9q94QeL._AC_UL320_.jpg,Sponsored,"Laptop Computer, 8GB Memory, 256GB SSD Storage, 15.6"" HD Display, Intel Celeron Quad-Core Processors, Mini HDMI, 2MP Webcam, Bluetooth, Type-C, TF Card",4.0,3.0,189.99,,
30,31.0,https://amazon.com/dp/B0CNTJH19L,B0CNTJH19L,https://m.media-amazon.com/images/I/61dOHhU8uGL._AC_UL320_.jpg,Sponsored,"HP Probook 250 G8 15.6"" FHD Business Laptop Computer, Intel Core i5-1135G7 (Beat i7-1065G7), 16GB DDR4 RAM, 512GB PCIe SSD, 802.11AC WiFi, Bluetooth 5.0, Natural Silver, Windows 11 Pro, AZ-XUT",5.0,1.0,449.0,,
